#{"t_start": 1778387410.9525952, "env_id": "None"}
r,l,t
187.517744,286,366.391383
187.453586,291,366.765219
187.496069,286,367.137018
187.564195,295,367.518057
187.445057,301,367.933205
187.433605,278,368.829456
187.522952,299,369.206645
187.521017,286,369.577091
187.570539,288,369.955633
187.55734,325,370.372
187.371344,258,370.691462
187.388443,247,371.016433
187.446661,280,371.390741
187.578944,320,372.370968
187.52489,308,372.833505
187.403073,287,373.221098
187.549139,295,373.602821
75.96215,147,373.802343
187.587354,285,374.177026
187.564141,278,374.538684
187.364396,277,375.484896
187.538331,286,375.918603
187.389325,294,376.325799
187.484627,294,376.729488
187.582337,295,377.141656
187.465112,269,377.559411
187.51427,305,378.052938
187.522282,290,379.073156
187.486958,284,379.492176
187.410421,278,379.896781
187.584151,277,380.292898
187.491773,266,380.68991
187.425824,303,381.12777
187.562834,274,381.517706
187.343366,311,382.590831
187.434285,289,383.033422
187.477523,302,383.485735
187.393002,272,383.86231
187.509733,278,384.262007
102.121096,151,384.497054
187.441966,283,384.906007
187.437906,291,385.332277
187.565794,284,386.354558
187.52749,284,386.763401
187.493149,314,387.221872
187.574468,295,387.628041
187.501726,312,388.070636
46.960366,93,388.241072
187.436379,308,388.682914
187.439772,304,389.713046
187.4102,302,390.188139
187.444969,292,390.617028
187.413964,275,391.002056
187.564623,313,391.445907
187.491488,322,391.911604
187.439964,290,392.338395
187.477065,289,393.372565
187.406025,287,393.798504
187.55595,293,394.211708
187.348898,294,394.645281
187.450356,275,395.044418
187.429821,283,395.461326
187.58605,320,395.940138
187.440176,280,396.944828
187.586143,292,397.405848
187.387752,291,397.817845
187.374334,284,398.24237
187.501047,343,398.757161
187.513512,311,399.230285
187.554605,320,399.683806
187.496758,298,400.74366
187.386558,294,401.20182
187.455058,300,401.630646
187.512733,318,402.092881
187.556612,292,402.503713
187.437495,292,402.93933
187.534181,280,403.328049
187.408783,318,404.449349
187.466229,268,404.831729
187.526706,297,405.24914
187.571546,291,405.682066
187.577601,278,406.079119
187.572408,311,406.52934
187.4314,294,406.945895
187.424863,307,408.017249
187.523937,320,408.479054
187.554995,284,408.910435
187.588326,301,409.360763
187.575232,286,409.774891
187.530063,273,410.154776
